CREATED AT 2026/06/30 00:37:27 FOR 2026/06/30
Delivery Hour,Interval,Pricing Location,LMP,Energy Loss Price,Energy Congestion Price
1,4,ANDREWS-LT.G3,32.37,-2.49,0.00
1,5,ANDREWS-LT.G3,31.83,-2.45,0.00
1,6,ANDREWS-LT.G3,32.30,-2.49,0.00
1,7,ANDREWS-LT.G3,33.71,-2.60,0.00
1,8,ANDREWS-LT.G3,33.43,-2.57,0.00
1,9,ANDREWS-LT.G3,33.71,-2.60,0.00
1,1,APIROQFALLS-LT.AG4,36.24,-1.16,0.00
1,2,APIROQFALLS-LT.AG4,35.79,-1.15,0.00
1,3,APIROQFALLS-LT.AG4,33.96,-1.09,0.00
1,4,APIROQFALLS-LT.AG4,33.78,-1.08,0.00
1,5,APIROQFALLS-LT.AG4,33.22,-1.06,0.00
1,6,APIROQFALLS-LT.AG4,33.70,-1.08,0.00
1,7,APIROQFALLS-LT.AG4,35.18,-1.13,0.00
1,8,APIROQFALLS-LT.AG4,34.88,-1.12,0.00
1,9,APIROQFALLS-LT.AG4,35.18,-1.13,0.00
1,1,ARDOCH-LT.T1_LF,39.12,1.72,0.00
1,2,ARDOCH-LT.T1_LF,38.64,1.70,0.00
1,3,ARDOCH-LT.T1_LF,36.66,1.61,0.00
1,4,ARDOCH-LT.T1_LF,36.46,1.60,0.00
1,5,ARDOCH-LT.T1_LF,35.86,1.58,0.00
1,6,ARDOCH-LT.T1_LF,36.38,1.60,0.00
1,7,ARDOCH-LT.T1_LF,37.98,1.67,0.00
1,8,ARDOCH-LT.T1_LF,37.66,1.66,0.00
1,9,ARDOCH-LT.T1_LF,37.98,1.67,0.00
1,1,ARLEN-LT.T1_LF,37.66,0.26,0.00
1,2,ARLEN-LT.T1_LF,37.20,0.26,0.00
1,3,ARLEN-LT.T1_LF,35.30,0.25,0.00
1,4,ARLEN-LT.T1_LF,35.10,0.25,0.00
1,5,ARLEN-LT.T1_LF,34.52,0.24,0.00
1,6,ARLEN-LT.T1_LF,35.03,0.25,0.00
1,7,ARLEN-LT.T1_LF,36.53,0.22,0.00
1,8,ARLEN-LT.T1_LF,36.25,0.25,0.00
1,9,ARLEN-LT.T1_LF,36.56,0.26,0.00
1,1,ARLENBESS-LT.BATT_LF1,37.66,0.26,0.00
1,2,ARLENBESS-LT.BATT_LF1,37.19,0.25,0.00
1,3,ARLENBESS-LT.BATT_LF1,35.30,0.25,0.00
1,4,ARLENBESS-LT.BATT_LF1,35.10,0.25,0.00
1,5,ARLENBESS-LT.BATT_LF1,34.52,0.24,0.00
1,6,ARLENBESS-LT.BATT_LF1,35.02,0.24,0.00
1,7,ARLENBESS-LT.BATT_LF1,36.53,0.22,0.00
1,8,ARLENBESS-LT.BATT_LF1,36.25,0.25,0.00
1,9,ARLENBESS-LT.BATT_LF1,36.56,0.26,0.00
1,1,ARLENBESS-LT.BATT_LF2,37.66,0.26,0.00
1,2,ARLENBESS-LT.BATT_LF2,37.19,0.25,0.00
1,3,ARLENBESS-LT.BATT_LF2,35.30,0.25,0.00
1,4,ARLENBESS-LT.BATT_LF2,35.10,0.25,0.00
1,5,ARLENBESS-LT.BATT_LF2,34.52,0.24,0.00
1,6,ARLENBESS-LT.BATT_LF2,35.02,0.24,0.00
1,7,ARLENBESS-LT.BATT_LF2,36.53,0.22,0.00
1,8,ARLENBESS-LT.BATT_LF2,36.25,0.25,0.00
1,9,ARLENBESS-LT.BATT_LF2,36.56,0.26,0.00
1,1,ARLENBESS-LT.BATT_TG1,37.66,0.26,0.00
1,2,ARLENBESS-LT.BATT_TG1,37.19,0.25,0.00
1,3,ARLENBESS-LT.BATT_TG1,35.30,0.25,0.00
1,4,ARLENBESS-LT.BATT_TG1,35.10,0.25,0.00
1,5,ARLENBESS-LT.BATT_TG1,34.52,0.24,0.00
1,6,ARLENBESS-LT.BATT_TG1,35.02,0.24,0.00
1,7,ARLENBESS-LT.BATT_TG1,36.53,0.22,0.00
1,8,ARLENBESS-LT.BATT_TG1,36.25,0.25,0.00
1,9,ARLENBESS-LT.BATT_TG1,36.56,0.26,0.00
1,1,ARLENBESS-LT.BATT_TG2,37.66,0.26,0.00
1,2,ARLENBESS-LT.BATT_TG2,37.19,0.25,0.00
1,3,ARLENBESS-LT.BATT_TG2,35.30,0.25,0.00
1,4,ARLENBESS-LT.BATT_TG2,35.10,0.25,0.00
1,5,ARLENBESS-LT.BATT_TG2,34.52,0.24,0.00
1,6,ARLENBESS-LT.BATT_TG2,35.02,0.24,0.00
1,7,ARLENBESS-LT.BATT_TG2,36.53,0.22,0.00
1,8,ARLENBESS-LT.BATT_TG2,36.25,0.25,0.00
1,9,ARLENBESS-LT.BATT_TG2,36.56,0.26,0.00
1,1,ARMITAGE-LT.LFE,38.20,0.80,0.00
1,2,ARMITAGE-LT.LFE,37.73,0.79,0.00
1,3,ARMITAGE-LT.LFE,35.80,0.75,0.00
1,4,ARMITAGE-LT.LFE,35.60,0.75,0.00
